"gene","process","group","species","taxa","polytomy","paraphyly","MCI","MCI.ci","nCID","nCID.ci","seq.identity","info.sites"
"dpn","somatic sex","sex determination",70,37,0.378378378378378,0.162162162162162,6.85998208192138,2.16029281783238,0.496165608807394,0.841454715758757,0.249540719926581,0.846645367412141
"dsx_OD1","somatic sex",NA,74,39,0.55,0.205128205128205,4.25931291803377,1.529149446097,0.647250509200977,0.873772131127148,0.597596741531401,0.0447761194029851
"dsx_OD2","somatic sex",NA,49,28,0.103448275862069,0.285714285714286,7.69791116083712,2.77883547866114,0.461746815936538,0.805594265340369,0.369941416279848,0.217391304347826
"dsx","somatic sex","sex determination",74,39,0.394736842105263,0.102564102564103,6.50307853753925,2.09258407110655,0.515029537345432,0.843995084322961,0.166546100900016,0.900096061479347
"EcR","reference","reference",97,45,0.363636363636364,0.0888888888888889,8.56526804470953,2.25411888565475,0.429743342507887,0.850047839340242,0.396411565883481,0.895632864544782
"EF1a1","reference","reference",103,46,0.52,0.304347826086957,4.61141734909941,1.80864845492703,0.663452165823971,0.86832334278147,0.826383802825533,0.337552742616034
"EF2","reference","reference",97,48,0.277777777777778,0.375,11.5801123000427,2.55430993259258,0.312407513003757,0.848370290771724,0.81572404511372,0.498831775700935
"eIF3a","reference","reference",78,39,0.0263157894736842,0.102564102564103,16.1937857503136,3.10160313146185,0.115666696824602,0.830765457578493,0.468112123836838,0.928396572827417
"eRF1","reference","reference",86,38,0.478260869565217,0.578947368421053,6.26416242653487,1.85953122645722,0.508721040221948,0.854815801709638,0.802879820324989,0.609561752988048
"Fen1","reference","reference",80,38,0.131578947368421,0.157894736842105,10.3974762194092,2.83472636080904,0.353424322399168,0.823708729080456,0.656092940510946,0.514150943396226
"fl2d","somatic sex","sex determination",92,42,0.0952380952380952,0.142857142857143,12.2897837478577,2.98845173229955,0.299828059205704,0.829746522754351,0.300567414562108,0.922211808809747
"fru","somatic sex","sex determination",86,42,0.212765957446808,0.380952380952381,10.4305099738737,2.570396134244,0.384138085074905,0.848092829864491,0.219257590111716,0.908735332464146
"Gel","reference","reference",67,36,0.0256410256410257,0.333333333333333,11.9849973910279,3.07912572190489,0.28532351582969,0.816515952899645,0.342865590472343,0.866158868335147
"HDAC1","reference","reference",92,42,0.183673469387755,0.476190476190476,9.83885800887227,2.6795902409965,0.394124437027035,0.835167219832846,0.743560844232958,0.568457538994801
"Iap2","reference","reference",44,24,0.19047619047619,0,7.04607956151826,2.46451659699689,0.371677816976964,0.780230916383816,0.282408609163892,0.839464882943144
"IDH","reference","reference",92,43,0.386363636363636,0.186046511627907,6.52567267792328,2.08207401496029,0.552178693642665,0.857449114514924,0.719608856914771,0.650095602294455
"ix","somatic sex","sex determination",75,41,0.390243902439024,0.146341463414634,7.30708739942176,2.00312291735621,0.495264032818717,0.861634584642468,0.417214717084101,0.724907063197026
"kkv","reference","reference",83,39,0,0.102564102564103,15.4590652303719,3.12624148262503,0.141478811504804,0.826190290256944,0.613051634841058,0.7
"mle","dosage comp",NA,88,41,0.1,0.0975609756097561,12.9236070099341,2.93742073521465,0.267720534746712,0.833559401523625,0.524399474534009,0.91264667535854
"mof","dosage comp",NA,88,41,0.272727272727273,0.292682926829268,10.1508814150999,2.45218283490622,0.362241520431194,0.846199752489228,0.581474948147589,0.806962025316456
"mp20","reference","reference",80,34,0.263157894736842,0.411764705882353,7.5368208642445,2.29037237545558,0.434700758103125,0.828444275689383,0.66916873427252,0.297297297297297
"msl1","dosage comp",NA,42,22,0.1,0.0909090909090909,6.93327244128767,2.57306012805583,0.411160640668732,0.781373866105467,0.152137603799091,0.919385796545106
"msl2","dosage comp",NA,50,29,0.333333333333333,0.0689655172413793,5.84906390892997,2.11822097230616,0.487688235562141,0.814467829265013,0.240375025072776,0.900967982129561
"msl3","dosage comp",NA,60,29,0.137931034482759,0.206896551724138,10.7781500611145,2.7892947262016,0.273353768086005,0.812128634836217,0.333685990488868,0.897406989853439
"nclb","germline sex","sex determination",86,41,0.205128205128205,0.0487804878048781,11.7253311781364,2.60195542972294,0.308344910697918,0.846515574889622,0.345415036107913,0.672202797202797
"Npl4","reference","reference",82,41,0.1,0.0975609756097561,13.2940397597865,2.95998943497064,0.241513294925909,0.831069435973668,0.482659977570349,0.916666666666667
"otu","germline sex","sex determination",67,36,0.205882352941177,0.0555555555555556,10.3903876418636,2.62619896470857,0.360488547607409,0.838560792940266,0.180399321215853,0.953616786305908
"ovo","germline sex","sex determination",95,46,0.148936170212766,0.173913043478261,13.1685958232052,2.83628693103516,0.29025289862525,0.847323301072915,0.269142928099288,0.912311780336581
"PABP1","reference","reference",94,44,0.136363636363636,0.136363636363636,12.0262744768283,2.92113135313039,0.312243441662357,0.833073494097818,0.693334535436593,0.616384915474642
"PEPCK","reference","reference",88,42,0.219512195121951,0.0952380952380952,9.63698974326628,2.58135448695847,0.397112590767202,0.838783158144079,0.583826781157709,0.686695278969957
"PGD","reference","reference",89,44,0.162790697674419,0.0909090909090909,11.5526129267266,2.85083339715432,0.351213630674342,0.840045115681203,0.64632272535536,0.562372188139059
"PPO1","reference","reference",55,24,0,0.25,8.42750327032513,2.88786404447551,0.3605281079368,0.780690965069647,0.437766560842096,0.588510354041416
"Prp6","reference","reference",90,40,0.0512820512820513,0.1,15.2294703967197,3.06422831345448,0.161804480700275,0.831351313481711,0.77575019787193,0.664652567975831
"pug","reference","reference",88,44,0.073170731707317,0,13.4644981271039,3.06283944613491,0.260802215311143,0.831850833795055,0.53476075702602,0.913392857142857
"RCC1","reference","reference",82,41,0.263157894736842,0,9.43750388863254,2.46856584008556,0.40983998457178,0.845631973087159,0.358302395555131,0.904807692307692
"RpII18","reference","reference",84,42,0.318181818181818,0.238095238095238,9.67899055641172,2.33840234054096,0.402427747885497,0.85575351855477,0.733267607243767,0.328767123287671
"RpII215","reference","reference",95,45,0.0952380952380952,0,13.4083121038626,2.98269810886978,0.278262829894843,0.839448539406125,0.71460844136695,0.640372366487016
"runt","somatic sex","sex determination",91,38,0.261904761904762,0.368421052631579,8.32927672139174,2.46819368422991,0.455953743132797,0.839246611037757,0.284241525602821,0.901168014375562
"scute","somatic sex","sex determination",63,36,0.0588235294117647,0.0555555555555556,11.6145096307319,2.98812813482797,0.277944964150902,0.814284331089604,0.335036541529894,0.784240150093809
"Sf1","reference","reference",85,38,0.205128205128205,0.210526315789474,9.55249643211612,2.56018268400416,0.377453143995166,0.833181416488861,0.377328800214749,0.95400475812847
"snf","somatic sex","sex determination",93,42,0.386363636363636,0.238095238095238,10.1460613539194,2.09421842939857,0.34987163212451,0.866007101579922,0.680973508137682,0.598615916955017
"SOD1","reference","reference",100,43,0.5,0.465116279069767,5.33254725480973,1.79118875185327,0.598258422930021,0.865318165000137,0.609413369097452,0.586206896551724
"Spec-a","reference","reference",88,44,0.0232558139534884,0.0909090909090909,17.4982792218554,3.15038739829639,0.0940507535256984,0.836893042258465,0.703515754531941,0.704823889739663
"spf45","somatic sex","sex determination",80,40,0.256410256410256,0.1,9.23955755041779,2.54384602561444,0.411080140377536,0.837785474663509,0.455042938826442,0.785714285714286
"Sxl","somatic sex","sex determination",90,38,0.24390243902439,0.315789473684211,10.4434670302983,2.40638962662011,0.337975694773485,0.847766165947207,0.382159247940711,0.774311926605505
"Syx1A","reference","reference",95,43,0.38,0.465116279069767,6.96541707915202,2.13533486052103,0.535338839759245,0.858570334886175,0.686893647174552,0.789403973509934
"TPI","reference","reference",99,43,0.348837209302326,0.13953488372093,9.17268175649397,2.36897631147873,0.413875692711964,0.849044378545243,0.642743021290162,0.601246105919003
"tra_SDP","somatic sex",NA,37,18,0.2,0,5.06949214492138,2.32311971549217,0.449979007837195,0.747950174435512,0.219002883506093,0.857627118644068
"tra","somatic sex","sex determination",42,21,0,0,7.92019149201523,2.77948960591818,0.322495366834895,0.762238439848041,0.161102898603627,0.952486187845304
"tra2","somatic sex","sex determination",94,41,0.25,0.292682926829268,7.73515143647195,2.62331854714226,0.507613433695651,0.833552501175239,0.376007026838415,0.812612612612613
"UbA5","reference","reference",91,45,0.25,0.0888888888888889,9.03648711663418,2.52432708094927,0.435708836957004,0.842366237452197,0.569020903908313,0.737777777777778
"UDE","reference","reference",52,25,0.0769230769230769,0.32,10.8719950299773,2.75065217627292,0.20620046690349,0.799653845303201,0.34528230952718,0.866906474820144
"vir","somatic sex","sex determination",90,42,0,0.0952380952380952,14.1023812625252,3.20018477912074,0.245336946438074,0.828747984300262,0.246453268302498,0.948892674616695
"Wnt1","reference","reference",87,45,0.488888888888889,0.133333333333333,7.84536037900792,1.85938391070393,0.458979844141337,0.872158638807324,0.51438324621143,0.883248730964467
